Step,Epsilon,Reward,NN_Loss
228,0.9578344013444704,-4.0,3.8545942306518555
229,0.9576528526196793,-23.0,2.9075992107391357
230,0.9574713402010022,-43.0,3.828202724456787
231,0.957289864081179,-63.0,3.7893192768096924
232,0.9571084242529503,-0.0,4.803160190582275
233,0.9569270207090588,-5.0,6.402410984039307
234,0.9567456534422483,-29.0,4.8046112060546875
235,0.9565643224452639,-0.0,4.914196014404297
236,0.9563830277108525,-0.0,5.115978717803955
237,0.9562017692317625,-0.0,3.397686243057251
238,0.9560205470007433,-0.0,2.9538936614990234
239,0.9558393610105461,-8.0,4.253695964813232
240,0.9556582112539236,-30.0,4.943326473236084
241,0.9554770977236295,-13.0,3.5655665397644043
242,0.9552960204124195,-66.0,3.8785223960876465
243,0.9551149793130504,-126.0,4.213412761688232
244,0.9549339744182807,-0.0,2.416539192199707
245,0.95475300572087,-0.0,4.06507682800293
246,0.9545720732135796,-4.0,5.334752082824707
247,0.9543911768891723,-0.0,4.684316158294678
248,0.9542103167404122,-0.0,4.719282627105713
249,0.9540294927600649,-0.0,4.516952037811279
250,0.9538487049408975,-11.0,3.4809234142303467
251,0.9536679532756783,-31.0,4.153509140014648
252,0.9534872377571775,-4.0,4.330976486206055
253,0.9533065583781661,-0.0,3.9219954013824463
254,0.9531259151314173,-36.0,5.616217613220215
255,0.9529453080097052,-0.0,4.3772053718566895
256,0.9527647370058057,-0.0,2.4559383392333984
257,0.9525842021124955,-7.0,5.172473907470703
258,0.9524037033225536,-0.0,2.6467275619506836
259,0.9522232406287602,-0.0,2.9659628868103027
260,0.9520428140238963,-0.0,3.8129701614379883
261,0.951862423500745,-4.0,4.451135635375977
262,0.951682069052091,-24.0,4.493908882141113
263,0.9515017506707197,-44.0,4.092649936676025
264,0.9513214683494187,-78.0,4.329772472381592
265,0.9511412220809765,-116.0,3.7809367179870605
266,0.9509610118581833,-0.0,3.8794009685516357
267,0.9507808376738306,-0.0,3.5828397274017334
268,0.9506006995207116,-10.0,4.552402019500732
269,0.9504205973916208,-30.0,3.6920790672302246
270,0.9502405312793539,-4.0,3.9311277866363525
271,0.9500605011767084,-0.0,4.398770809173584
272,0.949880507076483,-0.0,2.982677936553955
273,0.9497005489714782,-0.0,3.743936777114868
274,0.9495206268544952,-9.0,3.1762642860412598
275,0.9493407407183375,-7.0,3.3806331157684326
276,0.9491608905558097,-70.0,4.101547718048096
277,0.9489810763597175,-16.0,3.7077701091766357
278,0.9488012981228685,-68.0,5.45150899887085
279,0.9486215558380715,-128.0,3.4351823329925537
280,0.9484418494981369,-209.0,3.5723302364349365
281,0.9482621790958765,-289.0,4.631762981414795
282,0.9480825446241032,-4.0,4.554651260375977
283,0.9479029460756319,-0.0,3.6281089782714844
284,0.9477233834432786,-0.0,3.9609286785125732
285,0.9475438567198607,-0.0,5.578296661376953
286,0.9473643658981972,-0.0,3.274812698364258
287,0.9471849109711085,-7.0,2.957105875015259
288,0.9470054919314163,-4.0,3.434274435043335
289,0.9468261087719438,-0.0,4.231163024902344
290,0.946646761485516,-37.0,3.2215664386749268
291,0.9464674500649586,-97.0,3.2614307403564453
292,0.9462881745030994,-0.0,4.021866798400879
293,0.9461089347927673,-0.0,4.325127124786377
294,0.9459297309267927,-0.0,2.898451805114746
295,0.9457505628980074,-0.0,3.644242763519287
296,0.9455714306992448,-0.0,3.2602319717407227
297,0.9453923343233395,-2.0,3.0133731365203857
298,0.9452132737631277,-22.0,4.477523326873779
299,0.9450342490114471,-0.0,2.4698939323425293
300,0.9448552600611364,-4.0,3.6478543281555176
301,0.9446763069050362,-23.0,3.0646684169769287
302,0.9444973895359886,-12.0,3.489335298538208
303,0.9443185079468366,-0.0,2.6442835330963135
304,0.944139662130425,-0.0,3.974815845489502
305,0.9439608520796,-9.0,5.001796245574951
306,0.9437820777872092,-33.0,2.334423065185547
307,0.9436033392461017,-49.0,3.8621604442596436
308,0.9434246364491279,-0.0,2.3597512245178223
309,0.9432459693891396,-0.0,3.7319116592407227
310,0.9430673380589902,-0.0,3.723780870437622
311,0.9428887424515344,-0.0,2.556915044784546
312,0.9427101825596286,-2.0,2.9514048099517822
313,0.9425316583761301,-14.0,1.6229056119918823
314,0.9423531698938981,-0.0,3.7940945625305176
315,0.9421747171057929,-2.0,3.6790947914123535
316,0.9419963000046766,-0.0,4.073775291442871
317,0.9418179185834124,-0.0,3.842123508453369
318,0.941639572834865,-12.0,3.306771755218506
319,0.9414612627519008,-9.0,2.3961682319641113
320,0.9412829883273871,-0.0,5.2050981521606445
321,0.941104749554193,-0.0,3.6614413261413574
322,0.9409265464251891,-12.0,3.103360176086426
323,0.9407483789332471,-8.0,3.7787957191467285
324,0.9405702470712405,-32.0,4.848392963409424
325,0.9403921508320439,-48.0,3.7348389625549316
326,0.9402140902085333,-0.0,4.114536285400391
327,0.9400360651935865,-0.0,2.94272780418396
328,0.9398580757800824,-5.0,3.249606132507324
329,0.9396801219609014,-7.0,2.97526478767395
330,0.9395022037289256,-0.0,3.2115588188171387
331,0.9393243210770379,-0.0,3.8063619136810303
332,0.9391464739981232,-0.0,2.8068509101867676
333,0.9389686624850676,-0.0,3.8492352962493896
334,0.9387908865307586,-20.0,3.011327028274536
